network,mean_bc,std_bc,m_bc,M_bc,mean_cc,std_cc,m_cc,M_cc,mean_cl,std_cl,m_cl,M_cl,mean_ds,std_ds,m_ds,M_ds,mean_sv,std_sv,m_sv,M_sv,diameter,,
ba_043.csv,0.002842531,0.005166168,0.000114306,0.062556224,0.262162059,0.023171587,0.216749837,0.365800073,0.010784341,0.046986653,0,0.666666667,5.982,4.206110717,3,38,1.95919656,1.46408635,0.00596863,10.53905595,6,,
ba_044.csv,0.002811678,0.005661001,8.06E-05,0.058368854,0.26447935,0.024549705,0.215673575,0.37429749,0.014348507,0.052715126,0,0.666666667,5.982,4.492199445,3,41,1.947436008,1.479693547,0.001655393,10.98541382,6,,
ba_045.csv,0.002799095,0.006207935,0.000040397,0.077396772,0.265445858,0.025097234,0.21318822,0.379703535,0.015163604,0.054189924,0,0.666666667,5.982,4.713373727,3,49,1.946702418,1.480658534,0.001121449,11.54187111,6,,
ba_046.csv,0.002799486,0.005671831,9.73E-05,0.066193302,0.265213453,0.023956028,0.214193825,0.370137088,0.013134013,0.045468282,0,0.333333333,5.982,4.560314953,3,41,1.94443124,1.483639833,0.000582556,10.89095315,6,,
ba_047.csv,0.00281818,0.00540397,0.000135659,0.064411855,0.263848993,0.023387592,0.215394567,0.367009552,0.013985427,0.046617788,0,0.333333333,5.982,4.436818834,3,43,1.944112148,1.484057935,0.003471733,10.72604392,7,,
ba_048.csv,0.00276842,0.005839463,0.00010405,0.070649603,0.267343843,0.023816399,0.220383852,0.379559271,0.011790898,0.047318611,0,0.666666667,5.982,4.744912032,3,45,1.930683641,1.501486157,0.000103918,11.23074412,6,,
ba_049.csv,0.002814034,0.005499621,0.000114605,0.066411994,0.264150359,0.023550474,0.217931937,0.37471868,0.015027884,0.052470233,0,0.333333333,5.982,4.42552384,3,39,1.94565887,1.482029541,0.002978196,10.81519275,6,,
ba_050.csv,0.002804787,0.005614833,8.62E-05,0.062500401,0.264867175,0.024064035,0.220871103,0.371513574,0.012208387,0.047350693,0,0.333333333,5.982,4.541178074,3,40,1.940924779,1.48822411,0.003228059,11.03230351,6,,
ba_051.csv,0.002811325,0.005588686,0.000126003,0.06884958,0.264395279,0.023919255,0.213324792,0.38028169,0.012704033,0.048880523,0,0.666666667,5.982,4.392148332,3,40,1.954861935,1.469868979,0.00027794,10.83399037,6,,
ba_052.csv,0.002796374,0.005871367,8.72E-05,0.091364971,0.265523923,0.024507475,0.218647406,0.388262728,0.012483718,0.047040136,0,0.333333333,5.982,4.589415948,3,52,1.946638191,1.480742973,0.002555667,11.15368693,6,,
